Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
69034.48878,36787426.13068168,63135733.75789502,1517281.112135753,50912462.4235214,40492435.90675749,202949895.2636701,185259041.8444689,22910574.61414532,5733690.829638922,238708727.210545,35758831.94687492,0.8129834396749691,0.8129834396749691,0.8501988914911559,5442917.152016129,1921029.583064516,19362502.77027576,3970127.805,6134428.127678767,15880.51122,0.0,0.0,0.998144409267304,0.12596507691532483,18,18,0,10
63086.52320999999,33297603.273199424,56689368.068729915,601930.3108665713,46095868.843873054,36358025.26537649,186931962.27527153,147232325.614078,16851534.723012157,2274396.446454226,200454421.9219833,13522459.646711767,0.7429373280339162,0.7429373280339162,0.932540976063004,7481534.383669358,2640541.5471774205,26614630.754769575,5457119.197500002,8432047.315726098,21828.476790000008,0.0,0.0,0.9982497257718189,0.14200056317935636,16,16,0,11
56197.76649999999,30451965.24428912,52983355.46239669,119588.1744045284,40498976.86287001,33981154.52990621,176307430.13037816,182899355.36519724,17382325.292301886,453637.86861781357,245591748.2786352,69284318.14825705,0.6618120061237707,0.6618120061237707,0.7178882489583861,9842600.191532262,3473858.891129033,35013829.56098601,7179308.375000003,11093081.48151159,28717.23350000001,0.0,0.0,0.9979042906606409,0.22439875990364028,16,16,0,12
57732.068530000004,30424645.426625654,51730664.13037473,1703477.7107755656,39706751.51300258,33177734.33576763,174039407.20490384,179809485.77303255,15715312.449293079,6463545.932313283,244448188.20443475,70408780.99953091,0.6798806869222164,0.6798806869222164,0.7119684890417463,9316730.544153225,3288257.8391129025,33143113.50564261,6795732.8675,10500401.220857695,27182.931469999996,0.0,0.0,0.9988244259286679,0.3075053454927159,10,10,0,13
64180.27565,33985264.62806796,58019140.18133172,525241.6363025482,44205847.54115229,37210881.62476566,187139602.14197186,213079972.90190178,17195433.639762785,1986895.5033892007,264650021.643587,77510419.50161514,0.7558178843549432,0.7558178843549432,0.7071210536079192,7106659.555443548,2508232.784274193,25281060.04308967,5183681.087499999,8009545.44285167,20734.724349999997,0.0,0.0,0.9982337503642866,0.2688447215497327,16,16,0,14
64540.53112,34192521.168166526,58396649.331017666,1344042.2732510725,44998944.65417725,37452999.1093979,189349157.35087729,191753819.6246929,17458990.63560022,5100496.936062124,246138306.35794193,56789149.00706464,0.7600604265441913,0.7600604265441913,0.7692795166775865,6983184.898387097,2464653.493548387,24841814.2631996,5093617.22,7870383.594866899,20374.46888,0.0,0.0,0.9977880667016712,0.20041544783503412,20,20,0,15
56640.034469999984,30580342.36481017,53050550.106205754,1725199.864487669,40384086.311444245,34024250.16918634,177755409.50525892,165466424.5814724,17123776.706206225,6507365.547972349,233263172.30914903,55507762.80389011,0.6670203670729551,0.6670203670729551,0.762038035175461,9691016.411491942,3420358.7334677437,34474589.062006086,7068741.382500003,10922239.30662477,28274.965530000016,0.0,0.0,0.997948642063423,0.23655471569200068,16,16,0,16
42993.538230000006,22706699.453455694,38678959.23399205,1593851.2882694067,29009683.372354355,24806954.54856668,143470210.80093175,137188669.03702852,13097831.30995588,6042412.28253541,221810397.98948264,78340187.18855089,0.5063126447624096,0.5063126447624096,0.6468146313309195,14368242.9453629,5071144.568951611,51113242.41459994,10480365.442499999,16193697.461793553,41921.461769999994,0.0,0.0,0.9977764950818737,0.3499107903827302,13,13,0,17
71204.09293999999,38078364.35133588,65543641.792702496,100378.14075537564,51970326.182218194,42036760.4273641,206453536.84894362,186198538.40155008,20185954.011780355,374067.8954112429,228175050.1450693,21721513.29612568,0.838533744803627,0.838533744803627,0.904803293426185,4699302.822983875,1658577.4669354854,16717187.01334375,3427726.765000003,5296339.189567569,13710.907060000012,0.0,0.0,0.9982626954088784,0.1757437201001639,18,18,0,18
68354.66123,36520647.88624943,62814157.64605811,1355029.2702880267,50151490.29666101,40286191.37101433,201664637.53944853,189347583.8222651,17964236.30572872,5134727.082208892,238313860.39391905,36649222.85447052,0.8049774625213448,0.8049774625213448,0.8462144719829074,5675922.562298387,2003266.7866935486,20191390.621417925,4140084.6925000004,6397036.376677629,16560.338770000002,0.0,0.0,0.9984291059154577,0.13038680263900937,16,16,0,19
