idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
58,5,-2,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2,11,-1,-1,-1,17,-1,-1,-2,-2,-2,29,-2,-1,-1,-1,-2,-2
59,8,-2,-2,-2,-1,-2,4,-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1
60,8,-1,-2,-1,-2,-1,-1,-2,6,-1,-2,-1,-1,-2,-2,-2,11,-2,22,-1,-2,-2,-1,-2,22,-1,-1,-1,-1,-1,-2,-1,-2
61,5,-2,-1,-2,8,-1,-2,-2,10,-2,-1,-2,-1,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,29,-2,-1,-1,-2,-2,-2
62,-1,-1,3,-1,-1,-2,4,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,20,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2
63,6,0,-2,-1,-2,-1,-1,-2,6,-2,-2,-2,15,-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,29,-2,29,-1,-1,-1,-2
64,6,-2,-2,-2,-2,0,-1,-1,-1,-1,-2,-1,-2,-1,-1,-1,-2,20,13,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-1,-1
65,-1,-2,-1,-1,-1,-2,4,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,20,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-1
66,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,19,-1,14,-2,-1,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2
67,-2,-1,-2,-2,-1,-2,4,-2,-2,-2,-1,-1,-2,-1,-1,-1,-1,15,-2,-1,-1,-1,-1,-2,-1,-2,-1,-2,-1,28,-1,-2,-1
68,-2,-2,-1,-2,-1,-2,4,-1,-2,-2,-2,-1,-2,-2,-2,-2,11,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1
69,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,22,-1,-1,22,-1,17,19,-1,-2,-1,-2,24,-2,-1,28,-1,-1,-2
70,-1,-1,-2,-2,-2,-1,-1,-2,6,-2,-2,-1,-1,-2,-1,12,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-1,-2
71,5,-2,-2,-2,7,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,19,-2,-2,21,-1,-2,19,-2,-2,-1,27,-2,-1,-2,-1,-2,-1,-2
72,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-1,-1,-1,-2,-2,22,-2,-1,22,-2,-1,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2
73,6,-2,-2,-2,6,-2,-1,-1,7,-2,-2,-1,-1,-2,-2,-1,-1,-2,21,-1,-2,-1,-2,-1,-2,-2,-1,-1,29,-1,-2,-1,-2
74,-2,-2,-2,-1,-1,-2,8,-1,-1,-1,-2,-1,-2,-1,-2,22,-1,22,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
75,8,-1,5,-2,-1,0,-2,-2,-1,-2,-1,-2,-2,-1,-2,-1,-2,15,13,-1,17,-1,-2,-2,-1,-1,-2,-2,-1,28,-2,-2,-2
76,-1,-2,-1,6,7,0,4,-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,15,-1,18,-2,-2,-2,-2,-1,-1,24,-1,-1,28,-2,-1,-2
77,-1,-1,-2,-2,-1,-1,-2,-2,-2,-1,-1,-2,-1,-1,-2,-1,-2,-2,-2,15,-2,19,-2,-1,-1,-2,24,-2,-2,-2,-2,-2,-2
78,-1,-2,-2,-2,-2,-1,-1,-1,7,-2,-2,-2,-1,-2,-2,12,-2,-2,-1,-2,-1,-2,-1,-2,-1,27,-1,-1,-2,-2,-2,-2,-1
79,-1,0,-2,6,-1,-2,4,-2,6,-1,-2,-2,-1,-2,-2,19,-2,-1,21,-1,-1,19,-2,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2
80,-2,-2,-2,-2,-1,-1,4,-2,4,-1,-2,-1,-1,-2,-2,12,-2,-1,-1,-1,17,19,-2,-1,-2,27,-2,-1,-2,-2,-2,-2,-2
81,-2,-2,-1,-2,-1,-1,4,-1,-1,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-1,19,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2
82,-1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,22,-2,-1,-2,19,-1,-2,-2,27,28,-1,-1,28,-2,-1,-2
83,8,-1,-2,-2,-1,-1,-1,-2,-1,-1,-1,-2,-2,-2,-1,19,-1,-2,21,21,-2,-1,-2,-1,-2,27,-2,-1,-2,-2,-2,-2,-1
84,6,0,-1,-2,6,0,-1,-2,-1,-2,-2,-1,-1,-2,-1,12,-2,-1,15,-2,17,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-1
85,8,-2,-1,-2,8,-2,8,-2,-1,-2,-1,-2,-2,-2,-1,-2,-2,14,-1,-1,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2
