radius,population__town_0,population__town_1,population__town_2,population__town_3
502.5125628140704,0.0,0.0,94.67235000000001,0.0
507.5376884422111,0.0,0.0,94.67235000000001,0.0
512.5628140703518,0.0,0.0,94.67235000000001,0.0
517.5879396984925,0.0,0.0,94.67235000000001,0.0
522.6130653266332,0.0,0.0,94.67235000000001,0.0
527.6381909547739,0.0,0.0,103.53193999999998,0.0
532.6633165829146,0.0,0.0,117.40933,0.0
537.6884422110553,0.0,0.0,123.58842999999999,0.0
542.713567839196,0.0,0.0,123.58842999999999,0.0
547.7386934673367,0.0,0.0,123.58842999999999,0.0
552.7638190954774,0.0,0.0,123.58842999999999,0.0
557.7889447236181,0.0,0.0,130.046,0.0
562.8140703517588,0.0,0.0,136.97720999999999,0.0
567.8391959798995,0.0,0.0,142.07735,0.0
572.8643216080402,0.0,0.0,144.09836,0.0
577.8894472361809,0.0,0.0,144.09836,0.0
582.9145728643217,0.0,0.0,144.09836,0.0
587.9396984924624,0.0,0.0,145.53936000000002,0.0
592.9648241206031,0.0,0.0,180.80822,0.0
597.9899497487438,0.0,0.0,187.28006,0.0
603.0150753768845,0.0,0.0,187.28006,0.0
608.0402010050252,0.0,0.0,187.28006,0.0
613.0653266331659,0.0,0.0,187.28006,0.0
618.0904522613066,0.0,0.0,215.0395,0.0
623.1155778894473,0.0,0.0,215.0395,0.0
628.140703517588,0.0,0.0,215.0395,0.0
633.1658291457287,0.0,0.0,215.0395,0.0
638.1909547738694,0.0,0.0,222.31984999999997,0.0
643.2160804020101,0.0,0.0,222.31984999999997,0.0
648.2412060301508,0.0,0.0,247.06214,0.0
653.2663316582915,0.0,0.0,263.63475999999997,0.0
658.2914572864322,0.0,0.0,271.84835999999996,0.0
663.3165829145729,0.0,0.0,271.84835999999996,0.0
668.3417085427136,0.0,0.0,291.30073999999996,0.0
673.3668341708543,0.0,0.0,309.42997999999994,0.0
678.391959798995,0.0,0.0,341.51453999999995,0.0
683.4170854271357,0.0,0.0,391.2128199999999,0.0
688.4422110552764,0.0,0.0,395.07231999999993,0.0
693.4673366834171,0.0,0.0,446.08377999999993,0.0
698.4924623115578,0.0,0.0,452.31109999999995,0.0
703.5175879396985,0.0,0.0,462.12053999999995,0.0
708.5427135678393,0.0,0.0,504.60247,0.0
713.56783919598,0.0,0.0,526.29183,0.0
718.5929648241207,0.0,0.0,554.5946299999999,0.0
723.6180904522614,0.0,0.0,563.0637399999998,0.0
728.6432160804021,19.18851,0.0,571.3552299999999,0.0
733.6683417085428,19.18851,0.0,605.58999,0.0
738.6934673366835,19.18851,0.0,645.81996,0.0
743.7185929648242,19.18851,0.0,666.20812,0.0
748.7437185929649,19.18851,0.0,681.51789,0.0
753.7688442211056,19.18851,0.0,743.66469,0.0
758.7939698492463,19.18851,0.0,758.8134299999999,0.0
763.819095477387,19.18851,0.0,816.8914699999998,0.0
768.8442211055277,19.18851,0.0,843.1828799999997,0.0
773.8693467336684,19.18851,0.0,867.9646799999997,0.0
778.8944723618091,19.18851,0.0,910.8835699999996,0.0
783.9195979899498,19.18851,0.0,925.1652099999997,0.0
788.9447236180905,19.18851,0.0,963.9528199999995,0.0
793.9698492462312,19.18851,0.0,1009.3466799999997,0.0
798.9949748743719,19.18851,0.0,1009.3466799999997,0.0
804.0201005025126,19.18851,0.0,1052.5207399999995,0.0
809.0452261306533,19.18851,0.0,1083.0614699999994,0.0
814.070351758794,19.18851,0.0,1120.5928699999995,0.0
819.0954773869347,19.18851,0.0,1201.0458999999992,0.0
824.1206030150754,19.18851,0.0,1224.3390199999992,0.0
829.1457286432161,19.18851,0.0,1270.6913199999992,0.0
834.1708542713568,19.18851,0.0,1310.1661199999994,0.0
839.1959798994976,19.18851,0.0,1320.7957199999994,0.0
844.2211055276383,19.18851,0.0,1351.9933899999994,0.0
849.246231155779,19.18851,0.0,1394.3706999999995,0.0
854.2713567839197,28.44424,0.0,1422.0089099999993,0.0
859.2964824120604,28.44424,0.0,1463.9220999999989,0.0
864.3216080402011,28.44424,0.0,1507.4323099999986,0.0
869.3467336683418,39.94573,0.0,1522.3533499999987,0.0
