Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
13102.026929999993,7545330.977794596,13753655.137938078,19284.838949577887,9356604.329509748,8820979.27763391,85189484.51020545,73416590.56005993,4533147.46210592,55139.12089534303,190249085.7074029,105059601.19719747,0.15429578908320077,0.15429578908320077,0.4477786802151795,24613317.382862907,8687053.193951614,87558824.19316812,17953243.267500002,27740386.680879526,71812.97307000001,72066.98831070436,0.0,0.9966219915951758,0.31374755612612115,8,7,1,29
64944.70728999999,34600735.48603201,59372436.73227254,234316.5427965724,47785448.22207738,38078825.50678248,192778591.43801308,142301472.15664327,17955397.585552987,859494.5505343167,192460325.6889783,-318265.7490347624,0.7648202000824352,0.7648202000824352,1.0016536693881994,6844656.775604841,2415761.2149193557,24349017.64583073,4992573.177500002,7714255.770552094,19970.29271000001,150286.9748121732,0.0,0.9983623053825669,0.21940021809191612,16,14,2,30
52959.117650000015,27644005.964584254,46619922.89001486,116385.26567220525,34252187.554973,29899933.48047281,158865533.76384097,152269536.17681476,10797171.60168071,422045.14067531266,214026127.87976286,55160594.115921885,0.6236721150562329,0.6236721150562329,0.7422716812084251,10952620.966733865,3865630.929435482,38962590.81063015,7988970.587499997,12344128.020623846,31955.882349999985,622163.1832280605,0.0,0.998651909261433,0.29068201530671267,17,10,7,31
52921.748199999995,28403278.39727958,49034995.98879699,1426027.1939689498,39986992.65859281,31448853.352657568,170657023.87839162,134851414.87381777,18038635.017880064,5395355.74488107,208625716.74469778,37968692.866306156,0.6232320343873284,0.6232320343873284,0.8180056924009531,10965429.04435484,3870151.427419355,39008153.9583856,7998312.950000002,12358563.337095728,31993.251800000005,366728.1053784519,0.0,0.9984456357972316,0.20192296359330153,16,12,4,32
35340.95035,18449770.19992535,31117656.571198735,493871.7575381783,25840532.750043713,19957473.197501108,127402606.2350921,85462886.99593022,9702754.18037536,1880975.3801536292,174525264.6482909,47122658.4131988,0.41619207854913737,0.41619207854913737,0.7299952043724904,16991105.726814516,5996860.8447580645,60443751.48786382,12393512.412500001,19149789.34638502,49574.04965,43790.877153355585,0.0,0.9986818211462423,0.2811512240854256,8,7,1,33
67893.21324999999,36333902.722490676,62578078.322983935,1274578.733374267,48512469.69357398,40134780.651767,199664544.34343153,197952784.60090742,19529557.134256233,4843251.247073188,249359509.06389385,49694964.72046232,0.7995432285226401,0.7995432285226401,0.8007095662522784,5834080.136088714,2059087.1068548404,20754016.576420926,4255446.687500004,6575287.531741678,17021.786750000014,445819.3691473564,0.0,0.9987786592147208,0.24139174485981957,16,12,4,34
69044.93415999999,36928264.44447942,63570493.40124486,822371.1774007278,48791905.278553344,40771271.29751568,200982215.2769138,199530384.747793,17826561.924931403,3072595.3527639993,246477061.36172006,45494846.08480626,0.8131064495083318,0.8131064495083318,0.8154195533107245,5439337.082258068,1919766.0290322592,19349767.116090294,3967516.4600000028,6130393.217719727,15870.06584000001,1258415.1378832692,0.0,0.9986583089146654,0.2015764265237772,18,13,5,35
49298.90389999999,27252663.57561169,48173341.90889728,532778.8475778797,37054604.37355623,30896226.963013813,166571659.1104871,165387924.02622828,19445248.350289453,1984937.7833072841,242586582.11248386,76014923.00199676,0.5805676723782605,0.5805676723782605,0.6866482789771541,12207129.711693551,4308398.721774195,43425350.094155096,8904024.025000002,13758019.416830217,35616.09610000001,135992.14681016275,0.0,0.9977681824439837,0.18633767006792767,18,16,2,36
73019.62586999999,38983108.05584909,67006874.10589903,487882.8459802147,53473038.25721504,42975212.19044983,210494982.19850835,191599149.63669065,22326222.807663545,1779384.684059815,235201715.05296168,24706732.854453325,0.8599143363363362,0.8599143363363362,0.8949551330912278,4077043.552620971,1438956.5479838722,14503576.827899614,2973843.5325000025,4595023.210615156,11895.374130000011,916337.5440270929,0.0,0.9987519050755572,0.18204885154432013,20,13,7,37
40552.50702,21317406.52917609,36168305.138872884,1343305.0507073028,29396656.787230413,23196733.300160926,139649665.07381183,77932893.9044028,10150316.438903332,5098639.276237547,162533884.46566024,22884219.391848415,0.477565883766119,0.477565883766119,0.8592033933903589,15204886.706854839,5366430.602419355,54089498.84055364,11090623.245000001,17136635.022664204,44362.49298,57649.29870807472,0.0,0.9982318690084501,0.2716347884245536,11,10,1,38
